section_id,line_name,chainage_m,offset_m,x_center,y_center,existing_z_m,design_z_m,cut_fill_m
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-10.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-9.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-9.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-8.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-8.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-7.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-7.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-6.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-6.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-5.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-5.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-4.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-4.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-3.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-3.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-2.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-2.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-1.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-1.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,-0.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,0.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,0.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,1.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,1.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,2.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,2.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,3.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,3.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,4.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,4.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,5.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,5.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,6.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,6.5,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
Drain_1_110_106_CS000,Drain_1_110_106,0.0,7.0,1018.0,974.0,110.3266174816441,110.5,-0.17338251835589347
